"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"164"	0.77716	0.54251	0.038494	1.4549	0.2158	5315	"Bayescan Host"
"165"	1	1000	0	2.7018	0.37884	5423	"Bayescan Host"
"166"	0.93899	1.1872	0.010669	1.8524	0.25765	5593	"Bayescan Host"
"167"	0.9946	2.2652	0.00071681	2.1883	0.30159	5902	"Bayescan Host"
"168"	0.9998	3.6988	2.2227e-05	2.4323	0.33491	5970	"Bayescan Host"
"169"	0.85617	0.77471	0.022856	1.5692	0.22518	6251	"Bayescan Host"
"170"	0.83397	0.70095	0.025239	1.5312	0.22151	6252	"Bayescan Host"
"171"	0.85357	0.76561	0.023228	1.5625	0.2242	6253	"Bayescan Host"
"172"	0.93339	1.1465	0.012121	1.7217	0.23918	6254	"Bayescan Host"
"173"	0.9998	3.6988	2.2227e-05	2.3269	0.32	6255	"Bayescan Host"
"174"	0.9962	2.4185	0.00062452	2.0366	0.2778	6256	"Bayescan Host"
"175"	1	1000	0	2.7763	0.39077	6343	"Bayescan Host"
"176"	0.91938	1.0571	0.013188	1.7784	0.24924	6592	"Bayescan Host"
"177"	1	1000	0	2.7723	0.39055	6616	"Bayescan Host"
"178"	1	1000	0	2.7737	0.39048	6617	"Bayescan Host"
"179"	0.998	2.698	0.00030075	2.172	0.29793	6618	"Bayescan Host"
"180"	1	1000	0	2.7182	0.38175	6619	"Bayescan Host"
"181"	1	1000	0	2.7013	0.37876	6621	"Bayescan Host"
"182"	1	1000	0	2.4052	0.33159	6622	"Bayescan Host"
"183"	0.95899	1.3689	0.0067714	1.9849	0.27446	6857	"Bayescan Host"
"184"	1	1000	0	2.5884	0.35996	7163	"Bayescan Host"
"185"	0.9998	3.6988	2.2227e-05	2.5456	0.35399	7164	"Bayescan Host"
"186"	0.94139	1.2058	0.010321	1.8411	0.25555	7179	"Bayescan Host"
"187"	0.89078	0.91146	0.017291	1.7255	0.24398	7180	"Bayescan Host"
"188"	0.999	2.9995	0.00012128	2.3004	0.31663	7211	"Bayescan Host"
"189"	0.9998	3.6988	2.2227e-05	2.2882	0.31491	7212	"Bayescan Host"
"190"	0.83117	0.69223	0.025664	1.4882	0.21601	7220	"Bayescan Host"
"191"	0.97219	1.5436	0.0048709	2.037	0.28099	7305	"Bayescan Host"
"192"	0.89278	0.92046	0.01641	1.5925	0.22544	7868	"Bayescan Host"
"193"	0.983	1.762	0.003039	1.9927	0.2732	7903	"Bayescan Host"
"194"	0.79656	0.59278	0.03608	1.5111	0.22205	8080	"Bayescan Host"
"195"	0.9918	2.0825	0.0013596	2.0588	0.28228	8137	"Bayescan Host"
"196"	0.9996	3.3977	3.8946e-05	2.3129	0.31781	8244	"Bayescan Host"
"197"	0.90238	0.96585	0.014987	1.8133	0.25462	8264	"Bayescan Host"
"198"	0.9986	2.8532	0.00018967	2.1675	0.29676	8397	"Bayescan Host"
"199"	1	1000	0	2.6875	0.37687	9748	"Bayescan Host"
"200"	0.9994	3.2215	6.2724e-05	2.2834	0.31442	9940	"Bayescan Host"
"201"	0.94399	1.2267	0.0096505	1.828	0.25342	10071	"Bayescan Host"
"202"	0.94359	1.2234	0.0099814	2.2242	0.31334	10119	"Bayescan Host"
"203"	0.93819	1.1812	0.011023	2.0765	0.29112	10124	"Bayescan Host"
"204"	0.9984	2.7951	0.00023026	2.498	0.34918	10125	"Bayescan Host"
"205"	0.9754	1.5982	0.0045876	2.0743	0.28739	10127	"Bayescan Host"
"206"	0.9968	2.4934	0.00048927	2.2363	0.30792	10128	"Bayescan Host"
"207"	0.9992	3.0965	9.2701e-05	2.3728	0.3269	10129	"Bayescan Host"
"208"	0.9968	2.4934	0.00048927	2.1481	0.29385	10131	"Bayescan Host"
"209"	0.9962	2.4185	0.00062452	2.1632	0.29591	10132	"Bayescan Host"
"210"	0.9814	1.7222	0.0034354	2.048	0.28214	10135	"Bayescan Host"
"211"	0.9998	3.6988	2.2227e-05	2.4557	0.33968	10136	"Bayescan Host"
"212"	1	1000	0	2.6257	0.36705	10137	"Bayescan Host"
"213"	0.9824	1.7467	0.0032331	2.0338	0.27958	10142	"Bayescan Host"
"214"	0.9836	1.7779	0.0028469	2.0102	0.27614	10143	"Bayescan Host"
"215"	0.9938	2.2048	0.00080835	2.0778	0.2848	10145	"Bayescan Host"
"216"	0.9984	2.7951	0.00023026	2.184	0.29944	10146	"Bayescan Host"
"217"	0.9992	3.0965	9.2701e-05	2.308	0.31685	10147	"Bayescan Host"
"218"	0.97179	1.5372	0.0050614	1.8659	0.25624	10148	"Bayescan Host"
"219"	1	1000	0	2.7694	0.38905	10149	"Bayescan Host"
"220"	1	1000	0	2.7722	0.38949	10150	"Bayescan Host"
"221"	1	1000	0	2.7648	0.38776	10151	"Bayescan Host"
"222"	1	1000	0	2.7758	0.38988	10152	"Bayescan Host"
"223"	1	1000	0	2.7858	0.39154	10154	"Bayescan Host"
"224"	1	1000	0	2.4167	0.33224	10155	"Bayescan Host"
"225"	1	1000	0	2.3807	0.32676	10156	"Bayescan Host"
"226"	0.79856	0.59816	0.035615	1.4631	0.21659	10157	"Bayescan Host"
"227"	1	1000	0	2.5818	0.35739	10158	"Bayescan Host"
"228"	1	1000	0	2.5662	0.35484	10159	"Bayescan Host"
"229"	1	1000	0	2.4784	0.34169	10160	"Bayescan Host"
"230"	0.9998	3.6988	2.2227e-05	2.3416	0.32051	10161	"Bayescan Host"
"231"	0.92999	1.1233	0.012317	1.7713	0.24714	10163	"Bayescan Host"
"232"	0.94099	1.2026	0.010492	1.797	0.25033	10164	"Bayescan Host"
"233"	0.93599	1.165	0.011564	1.836	0.25534	10240	"Bayescan Host"
"234"	0.993	2.1518	0.0010762	2.0302	0.27825	10241	"Bayescan Host"
"235"	1	1000	0	2.5847	0.35962	10420	"Bayescan Host"
"236"	0.95579	1.3349	0.007449	1.967	0.27216	10430	"Bayescan Host"
"237"	1	1000	0	2.6602	0.37142	10434	"Bayescan Host"
"238"	0.9872	1.8871	0.0021632	2.0134	0.27561	10452	"Bayescan Host"
"239"	1	1000	0	2.6418	0.36893	10453	"Bayescan Host"
"240"	1	1000	0	2.5609	0.35693	10574	"Bayescan Host"
"241"	0.9756	1.6018	0.0045038	2.013	0.27751	10671	"Bayescan Host"
"242"	1	1000	0	2.7154	0.38108	10717	"Bayescan Host"
"243"	1	1000	0	2.7511	0.38699	10718	"Bayescan Host"
"244"	0.9998	3.6988	2.2227e-05	2.2069	0.30155	11085	"Bayescan Host"
"245"	0.79856	0.59816	0.035615	1.5309	0.2249	11086	"Bayescan Host"
"246"	0.81216	0.63586	0.029658	1.5505	0.22645	11191	"Bayescan Host"
"247"	0.78896	0.57268	0.037505	1.3994	0.20804	11506	"Bayescan Host"
"248"	0.90318	0.96981	0.014446	1.661	0.23367	11822	"Bayescan Host"
"249"	0.9986	2.8532	0.00018967	2.2185	0.30407	12751	"Bayescan Host"
"250"	0.9996	3.3977	3.8946e-05	2.1962	0.30094	12752	"Bayescan Host"
"251"	0.74495	0.4655	0.043175	1.365	0.20633	12832	"Bayescan Host"
"252"	0.9988	2.9202	0.00016215	2.3095	0.31763	12851	"Bayescan Host"
"253"	0.9992	3.0965	9.2701e-05	2.2255	0.30475	12855	"Bayescan Host"
"254"	0.86057	0.79044	0.022133	1.6111	0.23007	13039	"Bayescan Host"
"255"	0.86637	0.81181	0.021086	1.6928	0.24157	13047	"Bayescan Host"
"256"	0.9912	2.0516	0.0013992	2.0875	0.28655	13610	"Bayescan Host"
"257"	0.997	2.5215	0.00043645	2.1236	0.29064	13611	"Bayescan Host"
"258"	0.77576	0.539	0.039502	1.4111	0.21021	13829	"Bayescan Host"
"259"	1	1000	0	2.5914	0.36157	13835	"Bayescan Host"
"260"	1	1000	0	2.6302	0.36656	14771	"Bayescan Host"
"261"	1	1000	0	2.8259	0.39918	14772	"Bayescan Host"
"262"	1	1000	0	2.6317	0.36689	15167	"Bayescan Host"
"263"	0.9902	2.0044	0.0015711	2.3327	0.3242	16107	"Bayescan Host"
"264"	0.9878	1.9082	0.0020588	2.0312	0.27881	17290	"Bayescan Host"
"265"	0.96299	1.4153	0.0062583	1.8411	0.25313	17357	"Bayescan Host"
"266"	0.87898	0.8611	0.019736	1.6824	0.23963	17442	"Bayescan Host"
"267"	0.90298	0.96882	0.014716	1.6774	0.23648	18220	"Bayescan Host"
"268"	0.92058	1.0642	0.012962	1.8204	0.25402	18228	"Bayescan Host"
"269"	0.81556	0.64561	0.029201	1.4783	0.2154	18230	"Bayescan Host"
"270"	1	1000	0	2.7718	0.39002	18396	"Bayescan Host"
"271"	1	1000	0	2.6422	0.3685	18401	"Bayescan Host"
"272"	0.95959	1.3756	0.0066392	1.8127	0.25016	19090	"Bayescan Host"
"273"	0.9988	2.9202	0.00016215	2.4733	0.34474	19694	"Bayescan Host"
"274"	0.90738	0.99109	0.014174	1.8274	0.25629	19777	"Bayescan Host"
"275"	1	1000	0	2.6671	0.37342	19977	"Bayescan Host"
"276"	0.9986	2.8532	0.00018967	2.2648	0.31151	20477	"Bayescan Host"
"277"	0.998	2.698	0.00030075	2.1774	0.2984	21255	"Bayescan Host"
"278"	0.72695	0.42525	0.046725	1.3617	0.20749	21727	"Bayescan Host"
"279"	0.9976	2.6187	0.00035578	2.3334	0.32274	21832	"Bayescan Host"
"280"	1	1000	0	2.704	0.37846	22398	"Bayescan Host"
"281"	0.93439	1.1535	0.011749	1.8219	0.2536	22423	"Bayescan Host"
"282"	0.86017	0.78899	0.022489	1.6129	0.23079	22424	"Bayescan Host"
"283"	0.96979	1.5066	0.0053599	1.9151	0.26344	22448	"Bayescan Host"
"284"	0.79976	0.60141	0.034223	1.6404	0.24003	22803	"Bayescan Host"
"285"	0.94719	1.2537	0.0093177	1.9544	0.27092	23041	"Bayescan Host"
"286"	1	1000	0	2.6899	0.37681	23910	"Bayescan Host"
"287"	1	1000	0	2.6689	0.37351	25588	"Bayescan Host"
"288"	0.95559	1.3328	0.0077259	1.8652	0.25769	26314	"Bayescan Host"
"289"	0.96979	1.5066	0.0053599	1.9087	0.26265	26315	"Bayescan Host"
"290"	1	1000	0	2.4999	0.34584	26673	"Bayescan Host"
"291"	1	1000	0	2.5238	0.34894	26945	"Bayescan Host"
"292"	0.9998	3.6988	2.2227e-05	2.2567	0.30786	26946	"Bayescan Host"
"293"	1	1000	0	2.3651	0.3243	26948	"Bayescan Host"
"294"	0.88518	0.887	0.018194	1.6115	0.22866	27138	"Bayescan Host"
"295"	0.71734	0.40447	0.047343	1.4237	0.21659	27587	"Bayescan Host"
"296"	1	1000	0	2.6532	0.37018	27886	"Bayescan Host"
"297"	1	1000	0	2.6721	0.37396	27988	"Bayescan Host"
"298"	1	1000	0	2.6278	0.36639	28869	"Bayescan Host"
"299"	0.95359	1.3128	0.0084259	1.8684	0.25812	28998	"Bayescan Host"
"300"	0.96119	1.3939	0.0065083	1.9158	0.2647	28999	"Bayescan Host"
"301"	0.91158	1.0133	0.013914	1.8067	0.25312	29000	"Bayescan Host"
"302"	1	1000	0	2.6051	0.36256	29367	"Bayescan Host"
"303"	0.9988	2.9202	0.00016215	2.2154	0.30373	29368	"Bayescan Host"
"304"	0.986	1.8477	0.002434	1.9701	0.26951	29446	"Bayescan Host"
"305"	0.9984	2.7951	0.00023026	2.2008	0.30165	29450	"Bayescan Host"
"306"	0.80836	0.62512	0.031935	1.5859	0.23164	29596	"Bayescan Host"
"307"	0.73595	0.44516	0.043762	1.449	0.21886	29597	"Bayescan Host"
"308"	0.976	1.6091	0.0044202	2.1803	0.30276	29598	"Bayescan Host"
"309"	1	1000	0	2.6494	0.36993	29600	"Bayescan Host"
"310"	0.81056	0.63132	0.031023	1.5476	0.2257	29603	"Bayescan Host"
"311"	0.9982	2.7439	0.00025253	2.1965	0.30101	30047	"Bayescan Host"
"312"	0.9996	3.3977	3.8946e-05	2.323	0.31959	30269	"Bayescan Host"
"313"	0.77075	0.52661	0.041021	1.4278	0.21248	30286	"Bayescan Host"
"314"	0.84957	0.75186	0.023986	1.7378	0.24909	30455	"Bayescan Host"
"315"	0.71634	0.40233	0.04796	1.4332	0.21887	31092	"Bayescan Host"
"316"	1	1000	0	2.7083	0.37967	31166	"Bayescan Host"
"317"	0.979	1.6685	0.0038631	2.0007	0.2753	31644	"Bayescan Host"
"318"	0.93379	1.1493	0.011935	1.8448	0.25727	31814	"Bayescan Host"
"319"	1	1000	0	2.7001	0.37855	32978	"Bayescan Host"
"320"	0.77315	0.53254	0.040512	1.4966	0.22231	33262	"Bayescan Host"
"321"	1	1000	0	2.7074	0.37897	33366	"Bayescan Host"
"322"	1	1000	0	2.5949	0.36163	33367	"Bayescan Host"
"323"	1	1000	0	2.6928	0.37762	33381	"Bayescan Host"
"324"	1	1000	0	2.809	0.39617	33508	"Bayescan Host"
"325"	0.9798	1.6857	0.0037134	2.136	0.29527	33509	"Bayescan Host"
"326"	0.95259	1.303	0.0087105	1.8272	0.25283	33697	"Bayescan Host"
"327"	0.979	1.6685	0.0038631	2.0025	0.27531	34228	"Bayescan Host"
"328"	0.9854	1.8292	0.0026034	2.0657	0.28391	34229	"Bayescan Host"
"329"	0.9862	1.854	0.0023784	2.0683	0.28409	34230	"Bayescan Host"
"330"	0.9928	2.1394	0.0011102	2.1461	0.29457	34231	"Bayescan Host"
"331"	0.97119	1.5278	0.0051579	1.9158	0.26403	34232	"Bayescan Host"
"332"	1	1000	0	2.2191	0.30422	34233	"Bayescan Host"
"333"	0.9766	1.6204	0.0043376	1.9532	0.26794	34234	"Bayescan Host"
"334"	1	1000	0	2.6551	0.37043	35301	"Bayescan Host"
"335"	0.993	2.1518	0.0010762	2.1641	0.29739	35326	"Bayescan Host"
"336"	0.80816	0.62456	0.032388	1.5417	0.22511	35327	"Bayescan Host"
"337"	0.95759	1.3537	0.0070388	1.9886	0.27548	35328	"Bayescan Host"
"338"	0.82577	0.67572	0.026525	1.4362	0.20951	36704	"Bayescan Host"
"339"	0.91218	1.0165	0.013667	1.6234	0.22869	36952	"Bayescan Host"
"340"	0.85077	0.75596	0.023607	1.5507	0.22277	36967	"Bayescan Host"
"341"	0.992	2.0933	0.0012857	1.9414	0.26551	37503	"Bayescan Host"
"342"	0.997	2.5215	0.00043645	2.1477	0.2943	37505	"Bayescan Host"
"343"	1	1000	0	2.7261	0.38293	38088	"Bayescan Host"
"344"	1	1000	0	2.6114	0.36471	38089	"Bayescan Host"
